"0115 Vallentuna","table potatoes",1,6,8,9,9,7,8,4,5,2,2,1,1,1
"0115 Vallentuna","potatoes for processing of starch",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0115 Vallentuna","sugar beets",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0115 Vallentuna","winter rape",3,24,35,7,39,16,61,73,9,3,..,..,..,..
"0115 Vallentuna","spring rape",100,177,155,208,228,189,99,300,108,138,119,203,306,311
"0115 Vallentuna","winter turnip rape",25,63,188,149,111,38,14,..,10,..,27,40,11,..
"0115 Vallentuna","spring turnip rape",185,476,324,224,202,219,203,220,115,185,93,77,42,..
"0115 Vallentuna","oil flax",..,..,..,..,..,..,..,..,..,264,22,1,..,..
"0115 Vallentuna","horticulture plants",..,..,..,..,..,..,..,..,..,8,3,3,3,3
"0115 Vallentuna","other crops",6,48,21,27,36,55,50,65,65,1,60,2,1,1
"0115 Vallentuna","energy forest",..,..,..,..,..,..,..,..,..,47,46,39,35,34
"0115 Vallentuna","fallow land",651,424,833,725,460,241,264,252,1376,1123,1034,1093,1114,1317
"0115 Vallentuna","other untilled arable land",56,37,107,26,820,933,909,835,167,184,..,54,86,17
"0115 Vallentuna","unspecified arable land",..,..,..,..,..,..,..,..,..,..,130,81,86,38
"0117 Österåker","total arable land",..,2519,2332,2195,2160,2008,1959,1811,2106,2004,1940,1911,1900,1918
"0117 Österåker","winter wheat",..,38,214,279,67,145,153,127,31,145,223,267,275,260
"0117 Österåker","spring wheat",..,69,37,43,33,2,9,11,69,9,1,5,..,..
"0117 Österåker","rye",..,8,62,21,4,9,11,..,16,14,3,9,17,..
"0117 Österåker","winter barley",..,..,..,..,..,..,..,63,42,6,1,..,..,..
"0117 Österåker","barley",..,501,293,244,204,205,..,..,..,..,..,..,..,..
"0117 Österåker","spring barley",..,..,..,..,..,..,215,222,268,280,210,181,174,109
"0117 Österåker","oats",..,526,365,380,252,220,204,192,222,286,262,216,216,152
"0117 Österåker","mixed grain and triticale",..,..,..,7,1,5,..,..,..,..,..,..,..,..
"0117 Österåker","ley for hay and forage plants",..,..,..,..,..,..,453,429,506,..,..,..,..,..
"0117 Österåker","triticale",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0117 Österåker","mixed grain",..,105,47,..,..,..,3,1,5,..,2,9,2,..
"0117 Österåker","field peas for cooking, fodder peas, vetches and field beans",..,50,27,20,14,16,15,1,1,29,20,7,..,..
"0117 Österåker","green peas",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0117 Österåker","white beans",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0117 Österåker","green fodder",..,2,16,23,19,9,..,..,..,..,..,..,15,13
"0117 Österåker","utilized ley for hay",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0117 Österåker","utilized pasture",..,..,..,..,..,..,211,246,270,..,..,..,..,..
"0117 Österåker","utilized ley for hay and pasture",..,780,668,685,704,617,..,..,..,812,740,741,793,974
"0117 Österåker","not utilized ley for hay and pasture",..,11,32,16,94,149,77,70,75,41,..,..,..,..
"0117 Österåker","ley for seeds",..,1,..,..,..,..,2,2,..,..,2,..,..,..
"0117 Österåker","table potatoes",..,9,1,3,3,6,4,4,3,1,2,1,1,1
"0117 Österåker","potatoes for processing of starch",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0117 Österåker","sugar beets",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0117 Österåker","winter rape",..,..,37,29,..,..,..,..,..,..,..,..,3,..
"0117 Österåker","spring rape",..,90,39,70,37,19,26,8,5,23,42,58,7,74
"0117 Österåker","winter turnip rape",..,4,11,..,36,26,30,28,27,..,..,..,..,..
"0117 Österåker","spring turnip rape",..,139,106,94,62,50,42,50,44,82,52,31,35,..
"0117 Österåker","oil flax",..,..,..,..,..,..,..,..,..,13,..,..,..,..
"0117 Österåker","horticulture plants",..,..,..,..,..,..,..,..,..,10,10,9,10,8
"0117 Österåker","other crops",..,7,18,17,13,27,21,21,8,3,18,0,..,..
"0117 Österåker","energy forest",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0117 Österåker","fallow land",..,143,322,214,175,85,107,112,402,193,174,192,208,240
"0117 Österåker","other untilled arable land",..,36,37,50,442,418,376,225,113,57,..,19,29,4
"0117 Österåker","unspecified arable land",..,..,..,..,..,..,..,..,..,..,180,166,115,26
"0120 Värmdö","total arable land",1559,1513,1312,1106,1146,1214,1276,1236,1122,1134,1056,1064,964,1041
"0120 Värmdö","winter wheat",149,12,183,127,26,42,51,12,33,78,152,114,141,149
"0120 Värmdö","spring wheat",173,170,26,1,4,38,7,33,9,..,2,..,..,..
"0120 Värmdö","rye",7,2,5,..,..,..,..,2,8,..,..,..,0,0
